TOWNCODE,COUNTYNAME,TOWNNAME,median_household_income,gini_index,poverty_family_below_poverty_level_rate,poverty_family_below_poverty_level,tax_household_count
10013010,屏東縣,屏東市,437.36617606165333,0.4759421765596901,0.024004460486545177,1636,100692.0
10013020,屏東縣,潮州鎮,418.7719163706813,0.47754784104188175,0.017733631494097457,341,24776.0
10013030,屏東縣,東港鎮,400.0922223442821,0.47800048705200165,0.01929998758843242,311,18206.0
10013040,屏東縣,恆春鎮,356.0000985027581,0.5850391265700077,0.043146306818181816,486,10152.0
10013050,屏東縣,萬丹鄉,406.2674293536717,0.4848420248638801,0.022280388151174668,349,20454.0
10013060,屏東縣,長治鄉,417.8323643410853,0.45754112737264907,0.027181105568563575,267,13416.0
10013070,屏東縣,麟洛鄉,424.0579954954955,0.4532905059640281,0.019760790431617263,76,5328.0
10013080,屏東縣,九如鄉,393.58530405405406,0.45322897236906157,0.029922371206774878,212,8288.0
10013090,屏東縣,里港鄉,397.5237603305785,0.4818609788302519,0.015193536717713734,126,9680.0
10013100,屏東縣,鹽埔鄉,380.3008385744235,0.46633873540497917,0.040132013201320135,304,8586.0
10013110,屏東縣,高樹鄉,359.47598054119794,0.4757671652528318,0.02974628171478565,272,6578.0
10013120,屏東縣,萬巒鄉,398.71761363636364,0.48364718494945674,0.040259946108733555,254,7040.0
10013130,屏東縣,內埔鄉,394.58006844996845,0.4522288571937031,0.035085054678007294,693,22206.0
10013140,屏東縣,竹田鄉,386.866922395987,0.4571824335046154,0.032936078006500544,152,6778.0
10013150,屏東縣,新埤鄉,373.6662125340599,0.43827785898121446,0.041288433382137626,141,2936.0
10013160,屏東縣,枋寮鄉,390.43893805309733,0.4409440024265798,0.0374837412794135,317,7910.0
10013170,屏東縣,新園鄉,381.6647248198682,0.4525950227449098,0.02262883408468134,256,13046.0
10013180,屏東縣,崁頂鄉,386.17871939736347,0.4626247124879377,0.019898556379243076,102,5310.0
10013190,屏東縣,林邊鄉,402.13489499192247,0.4979402041955087,0.025445705024311184,157,6190.0
10013200,屏東縣,南州鄉,405.1751317680882,0.4589360813189065,0.02752019144481005,92,4174.0
10013210,屏東縣,佳冬鄉,366.41387170302835,0.4524845193360704,0.04118961184026808,295,6142.0
10013220,屏東縣,琉球鄉,389.4903518728717,0.45025370993247127,0.018217821782178217,92,3524.0
10013230,屏東縣,車城鄉,327.25763665594855,0.44871611304406556,0.05501528202278411,198,2488.0
10013240,屏東縣,滿州鄉,338.46805555555557,0.4540420642229126,0.04741379310344827,154,2160.0
10013250,屏東縣,枋山鄉,368.6894409937888,0.4326133416503887,0.0864338866628506,151,1288.0
10013260,屏東縣,三地門鄉,392.589552238806,0.4053100701550797,0.07028404952658412,193,2144.0
10013270,屏東縣,霧臺鄉,424.8074074074074,0.369859298524872,0.05003849114703618,65,1080.0
10013280,屏東縣,瑪家鄉,427.76847729296526,0.39804273300387494,0.05312767780634105,124,2246.0
10013290,屏東縣,泰武鄉,429.7969151670951,0.3966829627294257,0.053206997084548104,73,1556.0
10013300,屏東縣,來義鄉,402.52806563039724,0.43230341706745645,0.06872852233676977,160,2316.0
10013310,屏東縣,春日鄉,439.62939297124603,0.3933776192996986,0.08421797593772117,119,1252.0
10013320,屏東縣,獅子鄉,418.97275405007366,0.3816588911880993,0.0445996775926921,83,1358.0
10013330,屏東縣,牡丹鄉,416.3092024539877,0.4116572343944732,0.060153776571687016,133,1630.0
10014010,臺東縣,臺東市,435.43482150287093,0.4548872204715635,0.03859233305853257,1498,48068.0
10014020,臺東縣,成功鎮,352.3969147894221,0.5542619263485785,0.04257493188010899,250,4084.0
10014030,臺東縣,關山鎮,391.35940468651046,0.4473439081474553,0.036229560756652776,113,3158.0
10014040,臺東縣,卑南鄉,366.61611972592857,0.4763748998627473,0.05030245144858325,316,5546.0
10014050,臺東縣,鹿野鄉,367.4309605488851,0.49256599404242535,0.046869654464591175,137,2332.0
10014060,臺東縣,池上鄉,363.7729430379747,0.4571060116300029,0.041025641025641026,144,2528.0
10014070,臺東縣,東河鄉,344.7551498127341,0.57379893941869,0.05372923294450336,152,2136.0
10014080,臺東縣,長濱鄉,330.3154885654886,0.46226832217507485,0.04510800508259212,142,1924.0
10014090,臺東縣,太麻里鄉,384.6640328697851,0.4325262610337922,0.04631578947368421,220,3164.0
10014100,臺東縣,大武鄉,372.11913145539904,0.4324486944044272,0.059930849020361124,156,1704.0
10014110,臺東縣,綠島鄉,468.752427184466,0.4569786597638951,0.01565217391304348,18,1854.0
10014120,臺東縣,海端鄉,401.6547619047619,0.3660496572734318,0.07967836257309942,109,1344.0
10014130,臺東縣,延平鄉,396.0623973727422,0.38859766182198685,0.0857843137254902,105,1218.0
10014140,臺東縣,金峰鄉,427.8953287197232,0.3771289875630735,0.07380373073803731,91,1156.0
10014150,臺東縣,達仁鄉,421.1030245746692,0.38653329319909346,0.04812129202373105,73,1058.0
10014160,臺東縣,蘭嶼鄉,400.15011547344113,0.44382984400727366,0.05523809523809524,116,1732.0
10015010,花蓮縣,花蓮市,427.01458069190363,0.4892602412212958,0.023064170079968794,946,55210.0
