TOWNCODE,COUNTYNAME,TOWNNAME,郵遞區號,行政區,electricity_consume_residential,electricity_consume_commercial,electricity_consume_total,electricity_price_industrial,electricity_price_commercial
10007190.0,彰化縣,北斗鎮,521,北斗,3065.5727100935374,13849.825406527112,246027328.6,0.08748538011695907,0.10959064327485381
10007210.0,彰化縣,田尾鄉,522,田尾,2643.9429131026404,13995.775517710712,92047539.8,0.08748538011695907,0.10959064327485381
10007220.0,彰化縣,埤頭鄉,523,埤頭,2411.080244761467,14004.94248226594,223655017.2,0.08748538011695907,0.10959064327485381
10007260.0,彰化縣,溪州鄉,524,溪州,2424.0370469768686,10854.754251322514,196174937.0,0.08748538011695907,0.10959064327485381
10007250.0,彰化縣,竹塘鄉,525,竹塘,2301.0445799078425,13301.857741325166,62443237.6,0.08748538011695907,0.10959064327485381
10007200.0,彰化縣,二林鎮,526,二林,2660.745377737742,11133.020820545127,248599133.0,0.08748538011695907,0.10959064327485381
10007240.0,彰化縣,大城鄉,527,大城,2109.9030487291043,16094.50856399124,122053627.2,0.08748538011695907,0.10959064327485381
10007230.0,彰化縣,芳苑鄉,528,芳苑,2537.842415004548,13829.294323609865,978332093.4,0.08748538011695907,0.10959064327485381
10007180.0,彰化縣,二水鄉,530,二水,2598.5095419449817,9245.065691303305,74962673.0,0.08748538011695907,0.10959064327485381
10008010.0,南投縣,南投市,540,南投,3014.2722830317534,12797.595023667014,1186737952.4,0.08748538011695907,0.10959064327485381
10008080.0,南投縣,中寮鄉,541,中寮,2023.6459850367949,10565.70120916222,25560810.8,0.08748538011695907,0.10959064327485381
10008030.0,南投縣,草屯鎮,542,草屯,3133.255531966409,14616.866975382061,417526428.6,0.08748538011695907,0.10959064327485381
10008100.0,南投縣,國姓鄉,544,國姓,2212.931630343038,10531.101301978491,48800350.6,0.08748538011695907,0.10959064327485381
10008020.0,南投縣,埔里鎮,545,埔里,3188.3127325571363,13458.987914781315,412859209.6,0.08748538011695907,0.10959064327485381
10008130.0,南投縣,仁愛鄉,546,仁愛,3116.4664005720247,22946.740695442575,56913924.8,0.08748538011695907,0.10959064327485381
10008060.0,南投縣,名間鄉,551,名間,2834.7450464898625,13595.463489980079,148715484.2,0.08748538011695907,0.10959064327485381
10008050.0,南投縣,集集鎮,552,集集,2834.119833023354,15259.989801206353,50477746.6,0.08748538011695907,0.10959064327485381
10008110.0,南投縣,水里鄉,553,水里,2576.700536701156,10577.107975271187,54846464.2,0.08748538011695907,0.10959064327485381
10008090.0,南投縣,魚池鄉,555,魚池,3501.3417554770494,14883.324551389582,94096097.0,0.08748538011695907,0.10959064327485381
10008120.0,南投縣,信義鄉,556,信義,2595.3760357205756,15882.119327520279,27595622.8,0.08748538011695907,0.10959064327485381
10008040.0,南投縣,竹山鎮,557,竹山,3015.7691214688007,14859.009938239707,241927375.6,0.08748538011695907,0.10959064327485381
