"資料期別","縣市","鄉鎮市區","設有戶籍住宅之平均人口數"
"098Q2","南投縣","仁愛鄉",4.28
"098Q2","雲林縣","",4.71
"098Q2","雲林縣","斗六市",3.87
"098Q2","雲林縣","斗南鎮",4.15
"098Q2","雲林縣","虎尾鎮",4.02
"098Q2","雲林縣","西螺鎮",4.89
"098Q2","雲林縣","土庫鎮",5.16
"098Q2","雲林縣","北港鎮",4.11
"098Q2","雲林縣","古坑鄉",4.96
"098Q2","雲林縣","大埤鄉",5.02
"098Q2","雲林縣","莿桐鄉",5.03
"098Q2","雲林縣","林內鄉",4.88
"098Q2","雲林縣","二崙鄉",5.54
"098Q2","雲林縣","崙背鄉",5.28
"098Q2","雲林縣","麥寮鄉",5.16
"098Q2","雲林縣","東勢鄉",5.51
"098Q2","雲林縣","褒忠鄉",5.30
"098Q2","雲林縣","台西鄉",5.75
"098Q2","雲林縣","元長鄉",5.38
"098Q2","雲林縣","四湖鄉",5.28
"098Q2","雲林縣","口湖鄉",5.92
"098Q2","雲林縣","水林鄉",5.71
"098Q2","嘉義縣","",4.78
"098Q2","嘉義縣","太保市",4.39
"098Q2","嘉義縣","朴子市",4.53
"098Q2","嘉義縣","布袋鎮",4.96
"098Q2","嘉義縣","大林鎮",4.36
"098Q2","嘉義縣","民雄鄉",4.28
"098Q2","嘉義縣","溪口鄉",5.81
"098Q2","嘉義縣","新港鄉",5.52
"098Q2","嘉義縣","六腳鄉",5.68
"098Q2","嘉義縣","東石鄉",5.79
"098Q2","嘉義縣","義竹鄉",5.40
"098Q2","嘉義縣","鹿草鄉",5.37
"098Q2","嘉義縣","水上鄉",4.11
"098Q2","嘉義縣","中埔鄉",4.66
"098Q2","嘉義縣","竹崎鄉",5.25
"098Q2","嘉義縣","梅山鄉",5.02
"098Q2","嘉義縣","番路鄉",4.55
"098Q2","嘉義縣","大埔鄉",5.67
"098Q2","嘉義縣","阿里山鄉",5.18
"098Q2","屏東縣","",4.36
"098Q2","屏東縣","屏東市",3.65
"098Q2","屏東縣","潮州鎮",3.80
"098Q2","屏東縣","東港鎮",4.62
"098Q2","屏東縣","恆春鎮",4.11
"098Q2","屏東縣","萬丹鄉",4.68
"098Q2","屏東縣","長治鄉",4.30
"098Q2","屏東縣","麟洛鄉",4.00
"098Q2","屏東縣","九如鄉",4.56
"098Q2","屏東縣","里港鄉",4.67
"098Q2","屏東縣","鹽埔鄉",5.33
