TOWNCODE,COUNTYNAME,TOWNNAME,education_high_school_graduate,education_less_than_high_school,education_college,education_college_rate,education_high_school_graduate_rate,education_less_than_high_school_rate,employ_rate
10013240,屏東縣,滿州鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013250,屏東縣,枋山鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013260,屏東縣,三地門鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013270,屏東縣,霧臺鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013280,屏東縣,瑪家鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013290,屏東縣,泰武鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013300,屏東縣,來義鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013310,屏東縣,春日鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013320,屏東縣,獅子鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013330,屏東縣,牡丹鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10014010,臺東縣,臺東市,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014020,臺東縣,成功鎮,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014030,臺東縣,關山鎮,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014040,臺東縣,卑南鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014050,臺東縣,鹿野鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014060,臺東縣,池上鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014070,臺東縣,東河鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014080,臺東縣,長濱鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014090,臺東縣,太麻里鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014100,臺東縣,大武鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014110,臺東縣,綠島鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014120,臺東縣,海端鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
